
0.2	9.7518	45	68.0884	0	
0.4	24.9157	45	65.5004	0	
0.6	43.5355	45	63.3041	0	
0.8	65.0536	45	61.5103	0	
1	89.1565	45	59.9758	0	
1.2	115.643	45	58.6296	0	
1.4	144.414	45	57.5076	0	
1.6	175.374	45	56.5596	0	
1.8	208.449	45	55.7487	0	
2	243.579	45	55.0472	0	
2.2	280.717	45	54.4345	0	
2.4	319.821	45	53.8945	0	
2.6	360.855	45	53.4151	0	
2.8	403.792	45	52.9864	0	
3	448.604	45	52.6007	0	
3.2	495.269	45	52.2518	0	
3.4	543.768	45	51.9347	0	
3.6	594.082	45	51.645	0	
3.8	646.196	45	51.3794	0	
4	700.097	45	51.1349	0	
